,code,state,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
43,43,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,44,Dominican Republic,,,,,,,73.06,,,,,,,,,,,,,,,,,,,,,87.0,,,,,88.24,,,89.54,90.11,90.16,90.86,91.76,91.99,93.78,,,,,
45,45,Algeria,,,,,,,,,,,,,49.63,,,,,,,,,,,,,,,69.87,,,,72.65,,75.14,,,,,,,,,,81.41,,,
46,46,Ecuador,,,,,,,,83.55,,,,,,,,88.3,,,,,,,,,,,90.98,,,,,,92.1,92.39,92.25,91.85,91.59,92.06,93.29,94.22,94.46,94.35,92.83,,,93.63,
47,47,Egypt,,38.2,,,,,,,,,,44.42,,,,,,,,,,55.59,,,,,,,,,67.33,66.37,,,,72.05,,73.87,72.44,,,,71.17,,,,
48,48,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.51,,,,,,64.66,,,,,,,,,,76.57,,,
49,49,Spain,,,,,,,92.81,,,,,,,,,,96.49,,,,,,,,,,,,,97.17,97.75,97.75,97.94,97.63,97.68,97.75,97.78,97.89,98.08,98.09,98.14,98.25,,98.44,,98.59,
50,50,Estonia,,,,,,,,,,,,,,,99.73,,,,,,,,,,,99.77,,,,,,,,,,,99.89,,,,,,,,,,
51,51,Ethiopia,,,,,,,,,,,,,,,,,,,,27.01,,,,,,,,,,35.9,29.82,,39.0,,,,,,,,,,51.77,,,,
52,52,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,Falkland Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,56,Gabon,,,,,,,,,,,,,,,,,,,72.23,,,,,,,,,,,,,,,,,,,82.28,,,,,,84.67,,,
57,57,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,58,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.65,,,,,,,,,,,,99.59,,,99.36,,99.56,,
59,59,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,57.9,,,,,,,,,,71.5,,,,,,,,79.04,,,
60,60,Guinea,,,,,,,,,,,,,,,,,,,,,,20.55,,,,,,,29.7,,,,,,,25.31,,,,32.0,,,,39.62,,,
61,61,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,36.82,,,,,,,,,,,,,41.95,,50.78,,,,,,
62,62,Guinea Bissau,,,,,19.96,,,,,,,,,,,,,,,,,,,,,41.36,,,,,,,,,,,,,,45.58,,,,,,,
63,63,Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,88.31,,,,,,,,,,94.37,,,,,,,,,,,
64,64,Greece,,,,,,,90.51,,,,,,,,,,92.61,,,,,,,,,,95.99,,,,93.04,,93.93,,93.91,,97.37,,,,,,,97.94,,,
65,65,Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,66,Guatemala,,,,,,,,,,,,,,,,,,,,64.21,,,,,,,,69.1,,,,,,,,,,78.26,77.04,81.29,,,,80.81,,,
67,67,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.99,,,,,85.64,,,,,,,
68,68,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,80.01,,,,,,83.59,,,84.76,85.12,85.36,85.46,87.2,87.91,88.99,,87.21,88.51,,
69,69,Croatia,,,,,,,,,,,,,,,,,96.7,,,,,,,,,,98.15,,,,,,,,,,99.13,,,,,,,,,,
70,70,Haiti,,,,,,,,34.73,,,,,,,,,,,,,,,,,,,,,58.74,,,48.69,,,,,,,,,,61.69,,,,,
71,71,Hungary,,,,,,98.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.1,,,,,,,
72,72,Indonesia,,,,,,67.31,,,,,,,,,,81.52,,,,,,,,,,,,,,90.38,,91.98,,92.19,92.58,,92.81,,,95.12,95.22,95.38,,95.66,,96.0,
73,73,India,,,,,,,40.76,,,,,,,,,,48.22,,,,,,,,,,61.01,,,,,62.75,,,,,69.3,,,,,,,74.37,,,
74,74,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,75,Iran,,36.52,,,,,,,,,,52.32,,,,,65.53,,,,,73.06,,,,,,77.0,,,82.44,82.33,,82.96,,,,83.63,84.63,84.71,,85.54,,,,,
76,76,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,74.05,,,,,,,,,,,,77.2,72.7,82.2,,83.3,85.6,,,,
77,77,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,78,Israel,,,,,,,,,91.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,79,Italy,,,,,,,96.46,,,,,,,,,,,,,,,,,,,,98.42,,,,,,,,,,98.85,,,,,,,99.16,,,
80,80,Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,79.92,,,,,,,,,,,,,,,88.1,,,,,,,
