class,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Low income,2.78,2.8,2.81,2.8,2.8,2.79,2.76,2.74,2.74,2.73,2.73,2.72,2.71,2.64,2.67,2.7,2.71,2.73,2.76,2.81,2.84,2.88,2.87,2.89,2.94,2.99,3.06,3.14,3.21,3.33,3.34,3.27,3.41,3.46,3.53,3.6,3.77,3.83,3.94,4.0,4.08,4.16,4.27,4.36,4.47,4.56,4.65
Lower middle income,19.98,20.11,20.32,20.45,20.53,20.74,20.7,20.94,21.02,21.15,21.27,21.41,21.59,21.28,21.49,21.74,21.82,22.1,22.32,22.57,22.8,23.05,22.65,23.5,23.77,23.9,24.12,24.42,24.72,24.96,24.98,25.25,25.19,25.58,25.8,26.16,26.25,26.5,26.69,26.9,27.15,27.36,27.56,27.75,27.96,28.17,28.28
Middle income,25.29,25.37,25.46,25.51,25.56,25.65,25.67,25.77,25.82,25.89,25.94,26.01,26.1,26.05,26.13,26.22,26.26,26.35,26.41,26.48,26.53,26.59,26.5,26.7,26.77,26.8,26.85,26.91,26.97,27.01,27.02,27.09,27.08,27.14,27.17,27.22,27.21,27.25,27.26,27.3,27.32,27.35,27.36,27.36,27.36,27.37,27.36
Upper middle income,32.01,31.99,31.9,31.83,31.83,31.72,31.83,31.72,31.72,31.68,31.64,31.6,31.54,31.88,31.77,31.63,31.61,31.41,31.25,31.05,30.87,30.69,30.99,30.34,30.13,30.06,29.9,29.66,29.43,29.22,29.23,29.07,29.12,28.8,28.62,28.32,28.19,28.03,27.85,27.72,27.49,27.34,27.16,26.97,26.77,26.59,26.48
High income,19.93,19.73,19.52,19.4,19.28,19.1,19.05,18.83,18.7,18.55,18.42,18.24,18.06,18.15,17.94,17.7,17.6,17.41,17.27,17.09,16.95,16.79,16.99,16.57,16.39,16.24,16.07,15.87,15.67,15.48,15.42,15.31,15.2,15.02,14.88,14.7,14.58,14.39,14.26,14.08,13.95,13.78,13.65,13.56,13.45,13.31,13.23
